Property_ID,Location,Area_sq_ft,Bedrooms,Bathrooms,Year_Built,Amenities,Price
P00001,East Kathleenstad,2185,5,2,1990,Garden,280488
P00002,Angelamouth,4499,4,3,2016,Garage,869927
P00003,East Douglaschester,893,1,3,2019,Garage,312760
P00004,East Barbara,2314,1,1,2011,Garden,407385
P00005,East Jessicachester,2216,4,2,2006,Pool,184878
P00006,Danielleshire,1155,3,2,2004,Garage,310070
P00007,New Monicaton,4128,5,3,1980,None,646950
P00008,Carrstad,946,5,3,1989,Garden,644264
P00009,North Marc,507,5,3,2017,None,191894
P00010,South Monicaborough,2414,3,3,1995,Garden,307933
P00011,North Sarah,434,3,2,2012,None,753526
P00012,North Nichole,3708,3,2,1999,Garage,915183
P00013,West Kevin,1836,5,3,1984,None,791098
P00014,East Charlesburgh,4523,5,1,2006,Garden,207551
P00015,West Pamelaside,1280,3,3,2011,Pool,78976
P00016,West Timothy,1497,1,3,2000,None,465449
P00017,Sophiaborough,2032,1,2,1996,Garage,226168
P00018,Port Donald,2779,1,1,2020,Pool,260614
P00019,West Kimberlytown,2404,4,1,1998,Garage,610920
P00020,North Mariofort,3145,5,3,1991,Garage,896844
P00021,Clarkview,2675,3,2,2010,None,235690
P00022,New Stevefort,2317,4,3,1996,None,185563
P00023,Lake Mary,3330,1,2,2012,Pool,638484
P00024,Ashleyport,3543,2,3,1991,Pool,600855
P00025,Mathisstad,805,1,2,2011,Garage,301687
P00026,Ashleyport,2070,2,2,1987,Garage,308629
P00027,Patrickbury,2833,3,2,1988,None,868404
P00028,Port Theresa,3015,1,3,2018,Garden,959456
P00029,South Christopherberg,3224,4,2,2005,Pool,304492
P00030,Penningtonland,4684,2,1,2011,None,504028
P00031,Burtonland,2721,3,3,1990,Pool,185512
P00032,Lake Paulhaven,888,2,3,1996,None,422311
P00033,West Rebecca,2771,2,2,1992,Pool,524617
P00034,Roberttown,640,5,2,2008,None,766241
P00035,Port Michelle,3368,5,3,2013,Garden,498771
P00036,South Stevenside,4223,1,3,1992,Garden,318011
P00037,Kimberlyview,4222,1,3,1984,Garden,926616
P00038,North Richard,1736,4,1,1991,Pool,463160
P00039,Bookertown,3149,1,2,1999,Pool,808376
P00040,Mooremouth,2833,3,2,1991,Garden,791253
P00041,Howestad,3089,1,1,2003,Garage,727822
P00042,North Matthewmouth,4134,3,3,2011,Pool,789409
P00043,Thompsonside,721,3,2,2009,Garden,369713
P00044,Lake Jasonhaven,1787,5,3,2003,Pool,327838
P00045,Lake James,3001,2,3,1999,None,401796
